codigoDeBarras|idLivro|exemplar|dataAquisicaoExemplar|dataCadastroSistema|classificacao|areaConhecimento|autores|titulo|ano|isbn|editora|paginas
97484817|308714|1|23/03/2016|20/05/2016|371.36 N778p Ac.308714|MÉTODO DE PROJETO NO ENSINO|NOGUEIRA, Nilbo Ribeiro. |Pedagogia dos projetos:   etapas, papéis e atores . |2005|9788536500782|3. ed. São Paulo: Érica|102
97484818|308714|2|23/03/2016|20/05/2016|371.36 N778p Ac.308714|MÉTODO DE PROJETO NO ENSINO|NOGUEIRA, Nilbo Ribeiro. |Pedagogia dos projetos:   etapas, papéis e atores . |2005|9788536500782|3. ed. São Paulo: Érica|102
97379018|282419|1|01/12/2011|06/01/2012|701.03 P377a Ac.282419|ARTE E SOCIEDADE|PEIXOTO, Maria Inês Hamann. |Arte e grande público:   a distancia a ser instinta. |2003|8574960659|São Paulo: Autores Associados|102
97450915|282419|2|01/12/2011|22/09/2014|701.03 P377a Ac.282419|ARTE E SOCIEDADE|PEIXOTO, Maria Inês Hamann. |Arte e grande público:   a distancia a ser instinta. |2003|8574960659|São Paulo: Autores Associados|102
97484015|308576|1|23/03/2016|17/05/2016|370.7 L694a Ac.308576|EDUCAÇÃO - ESTUDO E ENSINO|LIBÂNEO, José Carlos. |Adeus professor, adeus professora? novas exigências educacionais e profissão docente. |2011|9788524915949|13. ed. São Paulo: Cortez|102
97484016|308576|2|23/03/2016|17/05/2016|370.7 L694a Ac.308576|EDUCAÇÃO - ESTUDO E ENSINO|LIBÂNEO, José Carlos. |Adeus professor, adeus professora? novas exigências educacionais e profissão docente. |2011|9788524915949|13. ed. São Paulo: Cortez|102
97482248|307119|1|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97482255|307119|1|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97482249|307119|2|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97482256|307119|2|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97482250|307119|3|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97482257|307119|3|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97482251|307119|4|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97482258|307119|4|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97482252|307119|5|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97482259|307119|5|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97482253|307119|6|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97482260|307119|6|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97482254|307119|7|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97482261|307119|7|26/02/2016|27/04/2016|621.815 N887p 4. ed. Ac.307119|Máquina - projetos|NORTON, R. L. |Projeto de máquinas:   uma abordagem integrada. |2013|9788582600221|Porto Alegre: Bookman|1028
97459767|295529|1|01/09/2013|17/03/2015|B869.1 P896d Ac.295529|POESIA BRASILEIRA|PRADO, Adélia. |A duração do dia. |2012|9788565265027|Rio de Janeiro: Record|103
97489149|296897|1|23/06/2016|15/07/2016|808.899282 L628c Ac.296897|HISTÓRIAS INFANTO-JUVENIS|LESSA, Orígenes. |Confissões de um vira- lata. |2012|9788526016866|36. ed. São Paulo: Global|103
97464761|303082|1|24/03/2014|15/06/2015|020.202 G943 Ac.303082|BIBLIOTECAS - MANUAIS, GUIAS, ETC.|DIAS, Tânia Mara (Org.). |Guia de bibliotecas de Curitiba. |1996|8572920218 |Curitiba: Champagnat|103
97484938|296868|1|13/04/2016|23/05/2016|321 B712p Ac.296868|SISTEMAS DE GOVERNOS E ESTADO|BONETI, Lindomar Wessler. |Políticas públicas por dentro. |2011|9788574299600|3. ed. rev. Ijuí: Unijuí|103
97484939|296868|2|13/04/2016|23/05/2016|321 B712p Ac.296868|SISTEMAS DE GOVERNOS E ESTADO|BONETI, Lindomar Wessler. |Políticas públicas por dentro. |2011|9788574299600|3. ed. rev. Ijuí: Unijuí|103
97473658|305256|1|12/03/2015|20/10/2015|005.74 E48f Ac.305256|GERÊNCIA DE BANCO DE DADOS|ELMASRI, Ramez; NAVATHE, Shamkant B. |Fundamentals of database systems. |2004|0321122267|4. ed. Boston: Pearson, Addison Wesley|1030
97473659|305256|2|12/03/2015|20/10/2015|005.74 E48f Ac.305256|GERÊNCIA DE BANCO DE DADOS|ELMASRI, Ramez; NAVATHE, Shamkant B. |Fundamentals of database systems. |2004|0321122267|4. ed. Boston: Pearson, Addison Wesley|1030
97473660|305256|3|12/03/2015|20/10/2015|005.74 E48f Ac.305256|GERÊNCIA DE BANCO DE DADOS|ELMASRI, Ramez; NAVATHE, Shamkant B. |Fundamentals of database systems. |2004|0321122267|4. ed. Boston: Pearson, Addison Wesley|1030
97473661|305256|4|12/03/2015|20/10/2015|005.74 E48f Ac.305256|GERÊNCIA DE BANCO DE DADOS|ELMASRI, Ramez; NAVATHE, Shamkant B. |Fundamentals of database systems. |2004|0321122267|4. ed. Boston: Pearson, Addison Wesley|1030
97473662|305256|5|12/03/2015|20/10/2015|005.74 E48f Ac.305256|GERÊNCIA DE BANCO DE DADOS|ELMASRI, Ramez; NAVATHE, Shamkant B. |Fundamentals of database systems. |2004|0321122267|4. ed. Boston: Pearson, Addison Wesley|1030
97473663|305256|6|12/03/2015|20/10/2015|005.74 E48f Ac.305256|GERÊNCIA DE BANCO DE DADOS|ELMASRI, Ramez; NAVATHE, Shamkant B. |Fundamentals of database systems. |2004|0321122267|4. ed. Boston: Pearson, Addison Wesley|1030
97473664|305256|7|12/03/2015|20/10/2015|005.74 E48f Ac.305256|GERÊNCIA DE BANCO DE DADOS|ELMASRI, Ramez; NAVATHE, Shamkant B. |Fundamentals of database systems. |2004|0321122267|4. ed. Boston: Pearson, Addison Wesley|1030
97465377|303247|1|17/03/2015|19/06/2015|342.5981 N972c 8. ed. Ac.303247|BRASIL. CÓDIGO DE DEFESA DO CONSUMIDOR|NUNES, Rizzatto. |Comentários ao código de defesa do consumidor. |2015|9788502616264|8. ed. rev., atual. e ampl. São Paulo: Saraiva|1031
97465378|303247|2|17/03/2015|19/06/2015|342.5981 N972c 8. ed. Ac.303247|BRASIL. CÓDIGO DE DEFESA DO CONSUMIDOR|NUNES, Rizzatto. |Comentários ao código de defesa do consumidor. |2015|9788502616264|8. ed. rev., atual. e ampl. São Paulo: Saraiva|1031
97465379|303247|3|17/03/2015|19/06/2015|342.5981 N972c 8. ed. Ac.303247|BRASIL. CÓDIGO DE DEFESA DO CONSUMIDOR|NUNES, Rizzatto. |Comentários ao código de defesa do consumidor. |2015|9788502616264|8. ed. rev., atual. e ampl. São Paulo: Saraiva|1031
97465380|303247|4|17/03/2015|19/06/2015|342.5981 N972c 8. ed. Ac.303247|BRASIL. CÓDIGO DE DEFESA DO CONSUMIDOR|NUNES, Rizzatto. |Comentários ao código de defesa do consumidor. |2015|9788502616264|8. ed. rev., atual. e ampl. São Paulo: Saraiva|1031
97465381|303247|5|17/03/2015|19/06/2015|342.5981 N972c 8. ed. Ac.303247|BRASIL. CÓDIGO DE DEFESA DO CONSUMIDOR|NUNES, Rizzatto. |Comentários ao código de defesa do consumidor. |2015|9788502616264|8. ed. rev., atual. e ampl. São Paulo: Saraiva|1031
97465382|303247|6|17/03/2015|19/06/2015|342.5981 N972c 8. ed. Ac.303247|BRASIL. CÓDIGO DE DEFESA DO CONSUMIDOR|NUNES, Rizzatto. |Comentários ao código de defesa do consumidor. |2015|9788502616264|8. ed. rev., atual. e ampl. São Paulo: Saraiva|1031
97465383|303247|7|17/03/2015|19/06/2015|342.5981 N972c 8. ed. Ac.303247|BRASIL. CÓDIGO DE DEFESA DO CONSUMIDOR|NUNES, Rizzatto. |Comentários ao código de defesa do consumidor. |2015|9788502616264|8. ed. rev., atual. e ampl. São Paulo: Saraiva|1031
97465384|303247|8|17/03/2015|19/06/2015|342.5981 N972c 8. ed. Ac.303247|BRASIL. CÓDIGO DE DEFESA DO CONSUMIDOR|NUNES, Rizzatto. |Comentários ao código de defesa do consumidor. |2015|9788502616264|8. ed. rev., atual. e ampl. São Paulo: Saraiva|1031
97465385|303247|9|17/03/2015|19/06/2015|342.5981 N972c 8. ed. Ac.303247|BRASIL. CÓDIGO DE DEFESA DO CONSUMIDOR|NUNES, Rizzatto. |Comentários ao código de defesa do consumidor. |2015|9788502616264|8. ed. rev., atual. e ampl. São Paulo: Saraiva|1031
97488994|296703|1|23/06/2016|14/07/2016|808.899282 L732v Ac.296703|HISTÓRIAS INFANTO-JUVENIS|LIMA, Edy. |A vaca voadora. |2007|9788526011601|32. ed. São Paulo: Global|104
97460422|301857|1|27/03/2015|27/03/2015|808.899282 S545f Ac.301857|HISTÓRIAS INFANTO-JUVENIS|SHELLEY, Mary. |Frankenstein. |1997|978852622386|4.ed. São Paulo: Scipione|104
97484770|308693|1|23/03/2016|20/05/2016|415 F273c Ac.308693|GRAMÁTICA COMPARADA E GERAL|FÁVERO, Leonor Lopes. |Coesão e coerência textuais. |2009|9788508101993|11. ed. rev. e atual. São Paulo: Ática|104
97463736|302777|1|28/05/2015|28/05/2015|510.712 B574p 2005 Ac.302777|MATEMÁTICA - ESTUDO E ENSINO (SEGUNDO GRAU)|BEZERRA, Licio Hernanes; GIMENEZ, Carmem Suzane Comitre; BURIN, Nereu Estanislau. |Problemas:   sistematização e representação . |2005|8599379208|Florianópolis: UFSC|104
97450797|294405|1|13/08/2014|18/09/2014|004.36 C855s Ac.294405|PROCESSAMENTO DISTRIBUÍDO|COULOURIS, George F; DOLLIMORE, Jean; KINDBERG, Tim. |Sistemas distribuídos:   conceitos e projeto . |2013|9788560031498|5. ed. Porto Alegre: Bookman|1048
97450798|294405|2|13/08/2014|18/09/2014|004.36 C855s Ac.294405|PROCESSAMENTO DISTRIBUÍDO|COULOURIS, George F; DOLLIMORE, Jean; KINDBERG, Tim. |Sistemas distribuídos:   conceitos e projeto . |2013|9788560031498|5. ed. Porto Alegre: Bookman|1048
97484276|294188|1|23/03/2016|18/05/2016|371.912 S586c Ac.294188|SURDOS - EDUCAÇÃO|SILVA, Marília da Piedade Marinho. |A construção de sentidos na escrita do aluno surdo. |2001|9788585689599|4. ed. São Paulo: Plexus|105
97484277|294188|2|23/03/2016|18/05/2016|371.912 S586c Ac.294188|SURDOS - EDUCAÇÃO|SILVA, Marília da Piedade Marinho. |A construção de sentidos na escrita do aluno surdo. |2001|9788585689599|4. ed. São Paulo: Plexus|105
97459576|295527|1|01/09/2013|16/03/2015|B869.3 H361o Ac.295527|FICÇÃO BRASILEIRA|HATOUM, Milton. |Órfãos do Eldorado. |2013|9788562518584|Belo Horizonte: Boa Viagem|107
97459932|295643|1|01/09/2013|18/03/2015|B869.1 G973p Ac.295643|POESIA BRASILEIRA|GULLAR, Ferreira; AYALA, Walmir (Org.). |Poemas escolhidos. |2012|9788500027505|4. ed. rev. Rio de Janeiro: Ediouro|107
97446505|298590|1|01/05/2014|05/08/2014|907 H667c Ac.298590|HISTÓRIA - ESTUDO E ENSINO|HIPÓLIDE, Márcia Cristina. |Contextualizar é reconhecer o significado do conhecimento científico. |2012|9788576553649|São Paulo: Phorte|107
97446506|298590|2|01/05/2014|05/08/2014|907 H667c Ac.298590|HISTÓRIA - ESTUDO E ENSINO|HIPÓLIDE, Márcia Cristina. |Contextualizar é reconhecer o significado do conhecimento científico. |2012|9788576553649|São Paulo: Phorte|107
97462207|295796|1|24/03/2014|30/04/2015|001.42 G618a Ac.295796|MÉTODOS DE PESQUISA|GOLDENBERG, Mirian. |A arte de pesquisar:   como fazer pesquisa qualitativa em ciências sociais. |1997|8501049654|13. ed. Rio de Janeiro: Record|107
97489100|305931|1|30/06/2016|15/07/2016|823 F667e Ac.305931|FICÇÃO INGLESA|FOLLETT, Ken. |Eternidade por um fio. |2014|9788580412918|São Paulo: Arqueiro|1071
97500445|312852|1|27/01/2017|14/03/2017|621.815 B927e Ac.312852|Máquina - projetos|BUDYNAS, Richard G.; NISBETT, J. Keith. |Elementos de máquinas de Shigley. |2016|9788580555547|10. ed. Porto Alegre, RS: AMGH|1073
97500446|312852|2|27/01/2017|14/03/2017|621.815 B927e Ac.312852|Máquina - projetos|BUDYNAS, Richard G.; NISBETT, J. Keith. |Elementos de máquinas de Shigley. |2016|9788580555547|10. ed. Porto Alegre, RS: AMGH|1073
97378921|279668|1|05/01/2012|05/01/2012|374.981 P963 Ac.279668|EDUCAÇÃO DE ADULTOS - BRASIL|CRAIDY, Carmem Maria  (Org.). |PROEJA à margem. |2010|9788571926899|Pelotas: UFPel|108
97464639|303032|1|24/03/2015|11/06/2015|659.8 E65g 2005 Ac.303032|MARKETING|ERBANO, Luiz Afonso Caprilhone. |Gestão e marketing na era do conhecimento. |2005|8572921427|Curitiba: Champagnat|108
97464640|303032|2|24/03/2014|11/06/2015|659.8 E65g 2005 Ac.303032|MARKETING|ERBANO, Luiz Afonso Caprilhone. |Gestão e marketing na era do conhecimento. |2005|8572921427|Curitiba: Champagnat|108
97446899|287798|1|10/03/2015|08/08/2014|621.8 B927e Ac.287798|ENGENHARIA DE MÁQUINAS|BUDYNAS, Richard G.; NISBETT, J. Keith. |Elementos de máquinas de Shigley:   projeto de engenharia mecânica . |2011|9788563308207|8. ed. Porto Alegre: AMGH|1084
97487947|307798|1|09/03/2016|23/06/2016|301 B662a Ac.307798|SOCIOLOGIA E ANTROPOLOGIA|BOAS, Franz. |Antropologia cultural. |2004|9788571107601|7. ed. Rio de Janeiro: Zahar|109
97487948|307798|2|09/03/2016|23/06/2016|301 B662a Ac.307798|SOCIOLOGIA E ANTROPOLOGIA|BOAS, Franz. |Antropologia cultural. |2004|9788571107601|7. ed. Rio de Janeiro: Zahar|109
97487950|307798|3|09/03/2016|23/06/2016|301 B662a Ac.307798|SOCIOLOGIA E ANTROPOLOGIA|BOAS, Franz. |Antropologia cultural. |2004|9788571107601|7. ed. Rio de Janeiro: Zahar|109
97487951|307798|4|09/03/2016|23/06/2016|301 B662a Ac.307798|SOCIOLOGIA E ANTROPOLOGIA|BOAS, Franz. |Antropologia cultural. |2004|9788571107601|7. ed. Rio de Janeiro: Zahar|109
97500572|307798|5|27/01/2017|16/03/2017|301 B662a Ac.307798|SOCIOLOGIA E ANTROPOLOGIA|BOAS, Franz. |Antropologia cultural. |2004|9788571107601|7. ed. Rio de Janeiro: Zahar|109
97500573|307798|6|27/01/2017|16/03/2017|301 B662a Ac.307798|SOCIOLOGIA E ANTROPOLOGIA|BOAS, Franz. |Antropologia cultural. |2004|9788571107601|7. ed. Rio de Janeiro: Zahar|109
97500574|307798|7|27/01/2017|16/03/2017|301 B662a Ac.307798|SOCIOLOGIA E ANTROPOLOGIA|BOAS, Franz. |Antropologia cultural. |2004|9788571107601|7. ed. Rio de Janeiro: Zahar|109
97500575|307798|8|27/01/2017|16/03/2017|301 B662a Ac.307798|SOCIOLOGIA E ANTROPOLOGIA|BOAS, Franz. |Antropologia cultural. |2004|9788571107601|7. ed. Rio de Janeiro: Zahar|109
97451852|299846|1|31/10/2013|08/10/2014|843 S137e Ac.299846|FICÇÃO FRANCESA|SAINT-EXUPÉRY, Antoine de. |El principito. |2009|9789500426404|24. ed. Buenos Aires: Emecé|109
97451853|299846|2|31/10/2013|08/10/2014|843 S137e Ac.299846|FICÇÃO FRANCESA|SAINT-EXUPÉRY, Antoine de. |El principito. |2009|9789500426404|24. ed. Buenos Aires: Emecé|109
97451854|299846|3|31/10/2013|08/10/2014|843 S137e Ac.299846|FICÇÃO FRANCESA|SAINT-EXUPÉRY, Antoine de. |El principito. |2009|9789500426404|24. ed. Buenos Aires: Emecé|109
97451855|299846|4|31/10/2013|08/10/2014|843 S137e Ac.299846|FICÇÃO FRANCESA|SAINT-EXUPÉRY, Antoine de. |El principito. |2009|9789500426404|24. ed. Buenos Aires: Emecé|109
97451856|299846|5|31/10/2013|08/10/2014|843 S137e Ac.299846|FICÇÃO FRANCESA|SAINT-EXUPÉRY, Antoine de. |El principito. |2009|9789500426404|24. ed. Buenos Aires: Emecé|109
97451857|299846|6|31/10/2013|08/10/2014|843 S137e Ac.299846|FICÇÃO FRANCESA|SAINT-EXUPÉRY, Antoine de. |El principito. |2009|9789500426404|24. ed. Buenos Aires: Emecé|109
97451858|299846|7|31/10/2013|08/10/2014|843 S137e Ac.299846|FICÇÃO FRANCESA|SAINT-EXUPÉRY, Antoine de. |El principito. |2009|9789500426404|24. ed. Buenos Aires: Emecé|109
97484877|300636|1|09/03/2016|20/05/2016|370.115 B817q Ac.300636|EDUCAÇÃO PARA A RESPONSABILIDADE SOCIAL|BRANDÃO, Carlos Rodrigues. |O que é educação popular. |2006|8511000941|São Paulo: Brasiliense|110
97484878|300636|2|09/03/2016|20/05/2016|370.115 B817q Ac.300636|EDUCAÇÃO PARA A RESPONSABILIDADE SOCIAL|BRANDÃO, Carlos Rodrigues. |O que é educação popular. |2006|8511000941|São Paulo: Brasiliense|110
97489452|310078|1|23/06/2016|22/07/2016|808.899282 D795m Ac.310078|HISTÓRIAS INFANTO-JUVENIS|DRUON, Maurice. |O menino do dedo verde. |2016|9788503001373|106. ed. Rio de Janeiro: José Olympio|110
97459946|295644|1|01/09/2013|18/03/2015|B869.9 C198p Ac.295644|CRÔNICAS BRASILEIRAS|CAMPOS, Paulo Mendes. |Primeiras leituras:   crônicas escolhidas. |2013|9788535920352|São Paulo: Cia das Letras|110
97499866|293047|1|27/01/2017|03/03/2017|510.7 D156e Ac.293047|MATEMÁTICA - ESTUDO E ENSINO|D'AMBROSIO, Ubiratan. |Educação matemática:   da teoria à prática. |2012|9788530804107|23. ed. Campinas: Papirus|110
97499867|293047|2|27/01/2017|03/03/2017|510.7 D156e Ac.293047|MATEMÁTICA - ESTUDO E ENSINO|D'AMBROSIO, Ubiratan. |Educação matemática:   da teoria à prática. |2012|9788530804107|23. ed. Campinas: Papirus|110
97499868|293047|3|27/01/2017|03/03/2017|510.7 D156e Ac.293047|MATEMÁTICA - ESTUDO E ENSINO|D'AMBROSIO, Ubiratan. |Educação matemática:   da teoria à prática. |2012|9788530804107|23. ed. Campinas: Papirus|110
97499869|293047|4|27/01/2017|03/03/2017|510.7 D156e Ac.293047|MATEMÁTICA - ESTUDO E ENSINO|D'AMBROSIO, Ubiratan. |Educação matemática:   da teoria à prática. |2012|9788530804107|23. ed. Campinas: Papirus|110
97499870|293047|5|27/01/2017|03/03/2017|510.7 D156e Ac.293047|MATEMÁTICA - ESTUDO E ENSINO|D'AMBROSIO, Ubiratan. |Educação matemática:   da teoria à prática. |2012|9788530804107|23. ed. Campinas: Papirus|110
97499871|293047|6|27/01/2017|03/03/2017|510.7 D156e Ac.293047|MATEMÁTICA - ESTUDO E ENSINO|D'AMBROSIO, Ubiratan. |Educação matemática:   da teoria à prática. |2012|9788530804107|23. ed. Campinas: Papirus|110
97499872|293047|7|27/01/2017|03/03/2017|510.7 D156e Ac.293047|MATEMÁTICA - ESTUDO E ENSINO|D'AMBROSIO, Ubiratan. |Educação matemática:   da teoria à prática. |2012|9788530804107|23. ed. Campinas: Papirus|110
97499873|293047|8|27/01/2017|03/03/2017|510.7 D156e Ac.293047|MATEMÁTICA - ESTUDO E ENSINO|D'AMBROSIO, Ubiratan. |Educação matemática:   da teoria à prática. |2012|9788530804107|23. ed. Campinas: Papirus|110
97499874|293047|9|27/01/2017|03/03/2017|510.7 D156e Ac.293047|MATEMÁTICA - ESTUDO E ENSINO|D'AMBROSIO, Ubiratan. |Educação matemática:   da teoria à prática. |2012|9788530804107|23. ed. Campinas: Papirus|110
97451099|299682|1|31/10/2013|25/09/2014|981.01 F979p Ac.299682|HISTÓRIA DO BRASIL, ATÉ 1533|FUNARI, Pedro Paulo Abreu; NOELLI, Francisco Silva. |Pré-história do Brasil. |2002|9788572441933|São Paulo: Contexto|110
97451100|299682|2|31/10/2013|25/09/2014|981.01 F979p Ac.299682|HISTÓRIA DO BRASIL, ATÉ 1533|FUNARI, Pedro Paulo Abreu; NOELLI, Francisco Silva. |Pré-história do Brasil. |2002|9788572441933|São Paulo: Contexto|110
97489372|305207|1|17/02/2016|21/07/2016|624 S718h Ac.305207|ENGENHARIA CIVIL|SOTO, Celso Faustino. |Hidráulica industrial:   projetos e dimensionamento de circuitos hidráulicos. |2014|9788529009315|São Paulo: EDICON|110
